nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,montant_pret
Marie,Zoé,57,161.7,56.3,F,oui,bac+2,Normandie,non,non,1369,500.0
Chauvet,Margot,57,173.0,61.9,H,oui,bac+2,Occitanie,non,oui,1842,12439.293590268686
Rousseau,Arthur,41,159.9,63.5,H,oui,bac,Bretagne,non,oui,3868,22954.67287100355
Mendès,Margaret,41,174.4,63.1,H,oui,bac+2,Normandie,non,oui,1495,11067.617423181788
Bertrand,Dominique,47,172.2,67.0,H,oui,master,Normandie,non,oui,3074,36525.37501588858
Prévost,Valérie,41,165.3,69.5,H,oui,bac+2,Occitanie,non,non,1466,500.0
Roy,Margot,40,172.8,63.2,H,non,doctorat,Occitanie,non,oui,2799,31625.8704943273
Georges,Marcelle,54,164.8,68.1,H,oui,bac+2,Occitanie,non,non,2979,3860.1597577097373
Hervé,Hugues,69,161.5,79.5,H,non,doctorat,Hauts-de-France,non,oui,2118,21806.838116670817
Germain,Nicole,67,161.5,68.7,H,oui,master,Occitanie,non,oui,2639,36859.40166064568
Ollivier,Catherine,64,156.1,50.7,H,oui,bac,Normandie,non,non,500,500.0
Langlois,Nath,74,163.8,57.9,H,oui,bac+2,Occitanie,non,oui,1795,21713.348276835226
Dubois,Roger,66,158.3,70.7,H,oui,master,Bretagne,non,oui,787,29383.294139120615
Delattre,Camille,46,161.4,67.8,H,oui,master,Occitanie,non,non,2583,500.0
Hoareau,Christelle,61,156.4,54.4,H,non,master,Normandie,oui,oui,3484,29418.944480712747
Grenier,Marcel,37,169.3,70.1,F,oui,master,Normandie,non,oui,3480,26562.828813887936
Joubert,Théophile,63,164.5,69.3,H,oui,bac+2,Corse,non,oui,2631,16233.947252877962
Vasseur,Danielle,61,170.6,65.0,H,oui,bac+2,Occitanie,non,oui,2000,28284.390158374612
Renaud,Isabelle,71,162.2,58.3,H,oui,master,Occitanie,non,oui,4152,40000.0
Lefèvre,Olivier,67,172.4,60.3,F,oui,doctorat,Normandie,oui,oui,3724,22586.390096982297
Picard,Jeanne,54,170.4,66.8,H,oui,master,Occitanie,non,oui,2589,30006.647190490206
Lefebvre,Lucie,46,165.4,67.3,H,oui,master,Normandie,non,oui,3730,24899.257345260106
Blanc,Adélaïde,57,170.0,78.9,H,non,doctorat,Hauts-de-France,non,non,2559,500.0
Lemaire,Véronique,64,167.3,64.5,H,oui,doctorat,Occitanie,non,non,3366,15050.051080794801
Pelletier,Benjamin,66,156.9,73.0,H,oui,master,Bretagne,non,oui,1497,30707.464195214434
Monnier,Suzanne,56,161.1,75.1,H,oui,doctorat,Occitanie,non,oui,3816,40000.0
Lenoir,Marthe,51,156.4,76.4,H,oui,aucun,Occitanie,non,oui,3191,16161.494708883374
Dos Santos,Charles,75,173.7,70.3,H,oui,master,Occitanie,non,non,689,500.0
Giraud,Alexandria,40,163.3,70.7,H,oui,doctorat,Occitanie,non,oui,965,33143.65215387839
Picard,Élise,39,174.9,72.5,H,oui,aucun,Occitanie,non,oui,1425,16880.44673091008
Georges,Lucy,53,167.9,60.7,F,oui,bac+2,Occitanie,non,oui,4358,30923.222864281142
Reynaud,Auguste,48,165.7,75.2,F,oui,bac+2,Bretagne,non,oui,2884,23217.831645712544
Cohen,Michelle,68,155.7,61.0,H,oui,master,Auvergne-Rhône-Alpes,non,oui,2127,35229.93025938289
Fouquet,Gérard,45,156.4,78.6,H,oui,master,Occitanie,non,oui,642,38712.55239004107
Potier,Hortense,45,159.5,77.7,H,oui,bac+2,Occitanie,non,oui,2817,25843.761572202377
Valette,Lucie,65,166.1,77.9,H,oui,master,Occitanie,oui,oui,2451,12245.316538774376
Valette,Michel,43,155.1,72.4,H,oui,master,Normandie,oui,non,2304,500.0
Renaud,Roland,37,173.7,66.3,H,oui,master,Hauts-de-France,non,non,1454,500.0
